Category,Name,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Uni_1,Uni_2,Uni_3,Uni_4,Uni_5,Uni_6
Accounting and Governance,The impact of IPO terminations on R&D manipulation in peer listed firms,Zijian Cheng,Qian Li,Zhangxin (Frank) Liu,Yang Su,Tianze Li,,Shandong University,Shandong University,University of Western Australia,Harbin Institute of Technology,,
Accounting and Governance,"Bank specialization, control rights, and real effects",Ozan Güler,Marco Giometti,Stefano Pietrosanti,,,,CUNEF Universidad,Universidad Carlos III de Madrid,,,,
Accounting and Governance,"Executives’ horizon, internal governance, and forward-looking credit loss accounting",Fangfang Hou,Huan Ke,Janus Jian Zhang,,,,Xiamen University,Hong Kong Baptist University,,,,
Accounting and Governance,Institutional dual holdings and firms’ executory contracts with suppliers: evidence from shareholder-lender mergers,Yunqi Xu,,,,,,,,,,,
Accounting and Governance,Executive interest alignment or opportunism: transparency as a governance mechanism in equity-based incentives,Henri Tran,Thu Ha Tran,,,,,Burgundy School of Business,,,,,
Accounting and Governance,Unintended consequences of mandatory CEO pay ratio disclosure,Vijay Shukla,,,,,,,,,,,
Accounting and Governance,ESG-related executive compensation and firms’ voluntary financial disclosures,Clemens Lauer,,,,,,,,,,,
Accounting and Governance,Gendered wage dynamics in high-level roles: why parenthood widens the leadership wage gap?,Elisa Raoli,,,,,,,,,,,
Accounting and Governance,Executive mental health and corporate investment,Mariya Ivanova,Jenni Kallunki,Juha-Pekka Kallunki,Gilad Livne,,,NHH Norwegian School of Economics,University of Oulu,University of Oulu,,,
Accounting and Governance,Do nomination committees shape board diversity?,Kashan Pirzada,Kamran Ahmed,,,,,Birmingham City University,,,,,
Accounting and Governance,How do corporate site visits affect the probability of industrial firms announcing refocusing?,Chun Yu Mak,Jia Liu,Guowen Li,,,,University of Birmingham,University of Portsmouth,,,,
Accounting and Governance,Performance through innovation: a dynamic analysis of SMEs,Gavin Reid,Julia Smith,,,,,University of St Andrews,,,,,
Accounting and Governance,Closed innovation vs open innovation: artificial intelligence and innovation strategy choice of SMEs,Qianwen Wang,Junrui Zhang,,,,,Xi’an Jiaotong University,,,,,
Accounting and Governance,"Boss’s sin, subordinates’ stain: stigma by association and employee careers in the aftermath of CFO dismissals",Steven Cahan,Jiaying Ge,Jingjing Xia,Rengong Zhang,,,University of Auckland,Wenzhou-Kean University,Wenzhou-Kean University,,,
Accounting and Governance,"Crash, bang, wallop—you’re fired: an experimental study of the effects of stock price crash and financial reporting quality on investor perceptions of CEO/CFO role dismissal",Ferdinand Gul,Karen Lai,Wen Hua Sharpe,Matt Mount,Bin Srinidhi,,University of Sunshine Coast,Shenzhen University,University of the Sunshine Coast,Deakin University,,
Accounting and Governance,"IPO withdrawal, industry competition and earning management of peer firms",Zijian Cheng,Yuxuan Shi,Qian Li,Zhangxin (Frank) Liu,,,Shandong University,Shandong University,Shandong University,,,
Accounting and Governance,Watchdogs or friends? CEO-audit committee ties and M&A performance,Syed Shams,Yaohua Qin,Chandra Krishnamurti,Luisa Unda,He Xiao,,University of Southern Queensland,Beijing Normal University-Hong Kong Baptist University,University of South Australia,University of the Balearic Islands,,
Accounting and Governance,Informing independent directors,Messod Daniel Beneish,,,,,,,,,,,
Accounting and Governance,Board composition and implicit team incentives,Masako Darrough,Eunhee Kim,Sandra Kronenberger,Sebastian Kronenberger,,,Baruch College,Baruch College,Johannes Gutenberg University Mainz,,,
Accounting and Governance,Delegation to subsidiary executives and earnings management: evidence from publicly listed subsidiaries in Japan,Yoshitaka Kubota,Yasuhiro Ohta,,,,,Nagoya Gakuin University,,,,,
Accounting and Governance,Managing employee perceptions under takeover threats? Evidence from CEO approval ratings on glassdoor,Dichu Bao,Ruirui Fang,Lixin (Nancy) Su,,,,Lingnan University,The Hong Kong Polytechnic University,,,,
Accounting and Governance,Rent-seeking through bad mouthing: employees’ strategic workplace disclosure before stock option grants,Yangyang Chen,Yongkang Li,Junqi Liu,Jeffrey Pittman,,,City University of Hong Kong,City University of Hong Kong,Xiamen University,,,
Accounting and Governance,How socially responsible investors shape sustainability assurance practices? Evidence from European firms,Marta Sánchez Sancho,Maria del Mar Sanchez Hernandez,Jennifer Martinez Ferrero,Emma García-Meca,,,Universidad de Salamanca,Technical University of Cartagena,Universidad de Salamanca,,,
Accounting and Governance,Spillover effects of non-financial reporting mandate: uncertainty about investors’ preferences,Dimitrios Papagiannis,Bjarne Brié,,,,,Tilburg University,,,,,
Accounting and Governance,Beyond financials: exploring existing and emerging non-financial reporting practices,Paolo Biancone,Valerio Brescia,Ginevra Degregori,Maria Carmela Serluca,,,University of Turin,University of Milan,University of Turin,,,
Accounting and Governance,"Uncertainty, earnings call disclosure, and debt financing",Yi-Mien Lin,Jing-Chi Chen,,,,,National Chung Hsing University,,,,,
Accounting and Governance,Family firms and debt contracts: evidence from Taiwan,Pin-Yi Yeh,Dio Cheng-Erh Huang,Ann Ling-Ching Chan,,,,Pwc Taiwan,National United University,,,,
Accounting and Governance,The voice of small shareholders at annual general meetings,Costanza di Fabio,Alberto Quagli,Francesco Avallone,Paola Ramassa,,,University of Genoa,University of Genova,University of Genoa,,,
Accounting and Governance,Monitoring or collusion? Common institutional ownership and the accuracy of management earnings forecasts in Japan,Wenjun Kuang,Efendi Jap,,,,,Hiroshima University,Northern Arizona University,,,,
Accounting and Governance,From slack to discipline: private equity ownership and operating cost stickiness,Gianluca Gabrielli,Camilla Ciappei,,,,,University of Parma,University of Padova,,,,
Accounting and Governance,The effect of employee stock ownership on earnings management: evidence from Japan,Shuichiro Kyodo,,,,,,Osaka Metropolitan University,,,,,
History,"Redistributing disaster cost: accounting, power, and corporate survival after Fukushima",Eri Kanamori,Orie Miyazawa,,,,,Ritsumeikan University,University of Kent,,,,
History,The historiography of double entry accounting in the pre-modern era — a critical reassessment,Alan Sangster,,,,,,University of Aberdeen,,,,,
History,Telefónica in historical perspective (1924–2024): a century-long longitudinal study of financial and accounting evolution,Javier Ayuso,Pau Insa-Sánchez,,,,,University of Valencia,Universitat Jaume I,,,,
Interdisciplinary / Critical,Assetization as a mode of control,Thomas Skinnerup,Gro Holde,,,,,Copenhagen Business School,,,,,
Interdisciplinary / Critical,Economic paradigms and their performativity in accounting research,Yuval Millo,Jan Pfister,,,,,Warwick University,,,,,
Interdisciplinary / Critical,Intangible assetization: the accounting entity on trial. The case of a French government initiative (2007-2020),Anne Jeny,Eve Chiapello,Laure Célérier,,,,IESEG School of Management,,,,,
Interdisciplinary / Critical,Generative AI versus human: a comparison of their uses in reflexive thematic analysis on corporate social responsibility motivations in UK audit firms,Di Min,,,,,,,,,,,
Interdisciplinary / Critical,Endogeneity challenges in environmental ESG and financial performance studies: a systematic review,Florian Follert,Tim Herberger,Nicole Trinkl,,,,Seeburg Castle University,Andrássy University Budapest,,,,
Interdisciplinary / Critical,Ascertaining RD&E decision-makers intentions to use AI: empirical evidence from an international sample,Laura Broccardo,Edoardo Crocco,,,,,University of Turin,,,,,
Interdisciplinary / Critical,"Accountability sinks, accountability gaps and technological injustice: the case of the British post office/horizon IT scandal",Louise Gorman,Niamh M. Brennan,Victoria Edgar,,,,Trinity College Dublin,University College Dublin,,,,
Interdisciplinary / Critical,The construction and evolution of non-financial benchmarks: an empirical investigation,Dasha Smirnow,Jan Bebbington,,,,,Lancaster University,,,,,
Interdisciplinary / Critical,Accounting and managerial dilemmas of network companies: railway companies as an example between 1883 and 1914,Mohamed Ali Dakkam,Cedric Poivret,,,,,University of Lorraine,,,,,
Interdisciplinary / Critical,"Waiters, old pals, beggars, and bribers: the economic and social lives of sell-side analysts in China",Dane Pflueger,Han Wu,Han Wu,,,,Warwick University,HEC Paris,,,,
Interdisciplinary / Critical,Bank shareholder equity between prudential regulation and financial management,Maria Elena Olante,Yuri Biondi,Davide Arrighi,,,,Università Cattolica del Sacro Cuore,CNRS,,,,
Interdisciplinary / Critical,How top managers’ vocabularies of motive shape accountability processes: the case of integrated reporting,Sabrina Roszak,Aziza Laguecir,Mouna Hazgui,,,,SKEMA Business School,EDHEC Business School,,,,
Interdisciplinary / Critical,Combining academic work and care responsibilities in the shadow of performance management,Kirsi-Mari Kallio,Aki Lehtivuori,Janne Tienari,Susan Merilainen,Tomi Kallio,,University of Turku,University of Turku,Hanken School of Economics,affiliation not provided,,
Interdisciplinary / Critical,How does the accounting research community think about open science?,Joachim Gassen,Jacqueline Klug,Victor van Pelt,,,,Humboldt University of Berlin,WHU - Otto Beisheim School of Management,,,,
Interdisciplinary / Critical,The affectivity of accounting and control practices and its role in changing organizations: an ethnographic study,Paola Trevisan,Christian Huber,,,,,Copenhagen Business School,,,,,
Interdisciplinary / Critical,"""Who are you?"" silence and melancholia as a psychic operation of power in diverse accounting spaces",Tassiani dos Santos,Nick McGuigan,Iago Lopes,,,,Durham University,Monash University,,,,
Interdisciplinary / Critical,"IMPACT, SHE WROTE - genres of narrative reporting in the cultural sector",Angela Nativio,,,,,,,,,,,
Interdisciplinary / Critical,From market fact to translation effect: re-theorizing the greenium through actor-network theory,Tra Tham,Othmar Lehner,Theresia Harrer,,,,Hanken School of Economics,Hanken School of Economics,,,,
Interdisciplinary / Critical,The illusion of duty: how the audit profession let users down,Cynthia Courtois,Pier-Luc Lajoie,Angélique Malo,,,,Laval University,University of Quebec in Trois-Rivières,,,,
Interdisciplinary / Critical,The interplay of cognition and emotion when interpreting accounting information: an ethnographic study of financial due diligence,Hanna Heeg,Christoph Pelger,,,,,University of Passau,,,,,
Interdisciplinary / Critical,Auditors’ going concern decisions: insights from practice,Dominic Detzen,Marshall Geiger,Anna Gold,Philip Wallage,,,Vrije Universiteit Amsterdam,University of Richmond,Vrije Universiteit Amsterdam,,,
Interdisciplinary / Critical,The myth of normal: a feminist account of cumulative trauma in women accountants’ careers,Alessandro Ghio,Carly Moulang,,,,,ESCP Business School,,,,,
Interdisciplinary / Critical,Activism in accounting academia: identity work in liminality,Juliette Senn,Alessandro Ghio,,,,,MBS School of Business,,,,,
Interdisciplinary / Critical,"Closed worlds, open practices: understanding accountability in Italian juvenile detention centres",Lorenzo Pratici,Anwar Halari,Isabella Mozzoni,,,,University of Parma,Open University,,,,
Interdisciplinary / Critical,Family firms and CO2 emissions: unpacking the role of market volatility and risk aversion,Rodrigo Basco,Thomas Bassetti,Andrea Caccialanza,Lorenzo dal Maso,,,American University of Sharjah,University of Padova,University of Bologna,,,
Interdisciplinary / Critical,The construction of financial value: crafting synergy estimates in acquisitions,Luc Paugam,Herve Stolowy,Yike Wang,Christof Binder,,,HEC Paris,HEC Paris,HEC Paris,,,
Interdisciplinary / Critical,Optimism or strategy? Positive communication in corporate disclosures,Karol Klimczak,Dominika Hadro,Marcel Meyer,Tohid Zeinali,,,Lodz University of Technology,Wrocław University of Economics And Business,University of Navarra,,,
Interdisciplinary / Critical,Competing frames in a crisis: a media house’s financial distress,Mattias Sandgren,Andreas Jansson,,,,,Jönköping University,Jönköping International Business School,,,,
Interdisciplinary / Critical,The medium is the message: analysing the implications of machine-readable corporate reporting,Nick Rowbottom,Indrit Troshani,,,,,University of Birmingham,Adelaide University,,,,
Interdisciplinary / Critical,From “likes” to value: sustainability accounting in agri-tourism farms through social media,Kriselda Gura,Servet Gura,Suman Lodh,Monomita Nandy,,,Epoka University,University of Tirana,Kingston University,Brunel University,,
Interdisciplinary / Critical,On the dynamics of accountability in a hyperreal setting: the narrative battle over star citizen,Herve Stolowy,Yves Gendron,Alexandre Madelaine,Luc Paugam,,,HEC Paris,,Erasmus University Rotterdam,HEC Paris,,
Interdisciplinary / Critical,Performing risk appetite: framing and overflowing of acceptable risk,Thomas Taussi,Jari Huikku,,,,,Aalto University,Aalto University,,,,
Interdisciplinary / Critical,Accounting research and vulnerability: some foundational reflections,Tobias Scheytt,Nadine Gerhardt-Huber,Nathalie Iloga Balep,Jaromir Junne,,,Helmut Schmidt University - University of the Federal Armed Forces Hamburg,Helmut Schmidt University - University of the Federal Armed Forces Hamburg,Helmut Schmidt University - University of the Federal Armed Forces Hamburg,Helmut Schmidt University - University of the Federal Armed Forces Hamburg,,
Interdisciplinary / Critical,Withstanding global accounting profession capacity building: the case of the Egyptian accounting profession,Perla Mardini,Brendan O’Dwyer,Christopher Humphrey,,,,Zayed University,Amsterdam Business School,University of Manchester,,,
Interdisciplinary / Critical,Accountants’ attitudes toward psychosocial influences on financial reporting – a qualitative study,Ewa Wanda Maruszewska,Dominika Korzeniowska,Elżbieta Jaworska,Nelli Artienwicz,,,University of Economics in Katowice,University of Lodz,West Pomeranian University of Technology,University of Gdansk,,
Interdisciplinary / Critical,Narrating the pinnacles of accountancy: oral histories from retired professionals,Lisa Baudot,Alessandro Ghio,Dana Wallace,,,,HEC Paris,ESCP Business School,,,,
Interdisciplinary / Critical,Calculation as part of the self? Professional identity positioning of marketers,Linda Hintsteiner,,,,,,,,,,,
Interdisciplinary / Critical,"""Simply because they are not like us"": accounting and the construction of oppression",Jenni Laaksonen,Eija Vinnari,,,,,Tampere University,,,,,
Interdisciplinary / Critical,Power in action: control in accounting through a Foucauldian lens,Ryoko Yamada,,,,,,,,,,,
Interdisciplinary / Critical,How practices shape standard-setting - endogenization in the IFRS accounting for extractive activities,Kjell Ove Røsok,Christoph Pelger,,,,,NHH Norwegian School of Economics,,,,,
Interdisciplinary / Critical,Making sense of hybrid working in accounting professional service firms,Christopher Flanagan,Yvonne Joyce,,,,,University of Glasgow,,,,,
Interdisciplinary / Critical,Corporate opinion leaders and reluctant auditors – ethnographic insights into the implementation of accounting standards,Leonie Daum,Christoph Pelger,,,,,University of Innsbruck,,,,,
Interdisciplinary / Critical,The interstitial dynamics of the audit expectation gap,Othmar Lehner,Tra Tham,Christoph Eisl,Stefan Fink,,,Hanken School of Economics,Hanken School of Economics,University of Applied Sciences Upper Austria,,,
Interdisciplinary / Critical,Career tactics: women’s networking groups in auditing,Simone Stavnsbo,,,,,,,,,,,
Interdisciplinary / Critical,Between embracing and resisting. non-accounting specialists’ responses to sustainability accounting integration,Vera Linke,Lukas Loehlein,,,,,WHU - Otto Beisheim School of Management,,,,,
Interdisciplinary / Critical,Calculative capture. How a net zero project is caught in revising the numbers,Katrin von der Lancken,Vera Linke,Utz Schaeffer,,,,WHU - Otto Beisheim School of Management,WHU - Otto Beisheim School of Management,,,,
Interdisciplinary / Critical,The disclosure dilemma: a supply chain perspective on the consequences of SEC investigation secrecy,Fangfei Jiang,,,,,,,,,,,
Accounting and Information Systems,The spillover effect of supplier data breach incidents along the supply chain,Wenhong Ding,Wei Guan,Zhenyang Shi,Sri Talluri,Tobias Schoenherr,,NEOMA Business School,"IDRAC International School of Management, Lyon",BI Norwegian Business School,Michigan State University,,
Accounting and Information Systems,"The value and impact of data assets on supply chain, innovation, firm reputation, and debt financing cost",Li Wang,,,,,,University of Akron,,,,,
Accounting and Information Systems,Calibration and uncertainty quantification in bankruptcy risk modeling,Hendrik von der Lippe,Luis Voskuhl,Petroula Glachtsiou,,,,Ruhr University Bochum,Ruhr University Bochum,Erasmus University Rotterdam,,,
Accounting and Information Systems,Management system standards and control in SMEs: a systematic literature review and integrated research framework,Mattias Sandgren,Anders Melander,Fredrika Askenmalm,Emilia Florin Samuelsson,Timur Uman,,Jönköping University,Jönköping International Business School,Jönköping International Business School,Jönköping University,,
Accounting and Information Systems,"Sustainability performance in the digital era: unpacking the roles of IT governance, IT absorptive capacity, and big data analytics with green knowledge management as a moderator",Syaiful Ali,Husna Karimah,Fauziah Abdunnafi,,,,Universitas Gadjah Mada,Gadjah Mada University,Gadjah Mada University,,,
Accounting and Information Systems,Algorithmic control and reciprocal (un)accountability of employer-worker relationships,Marisa Agostini,Daria Arkhipova,,,,,Ca’ Foscari University of Venice,Ca’ Foscari University of Venice,,,,
Accounting and Information Systems,Accounting for crime: detecting mafia-connected firms using machine learning,Francesco Ambrosini,Antonio Parbonetti,Michele Fabrizi,,,,University of Padova,University of Padova,University of Padova,,,
Accounting and Information Systems,Can machines read your face? A video analytics framework for measuring empathy via emotional mimicry in video recordings,Jingran Zhao,Li Cui,Ka Chung Ng,Zhoudao Lu,,,The Hong Kong Polytechnic University,The Hong Kong Polytechnic University,The Hong Kong Polytechnic University,,,
Accounting and Information Systems,Crypto and cocaine: how do criminals behave after large drug seizures?,Andrea Bafundi,Michele Fabrizi,Marco Ghitti,Antonio Parbonetti,,,University of Padova,University of Padova,University of Padova,,,
Accounting and Information Systems,AI-supported automation in accounting and tax consulting practice: development and evaluation of local privacy-compliant prototypes,Johannes Lässer,Markus Isack,,,,,Vienna University of Economics and Business,,,,,
Accounting and Information Systems,Coercive pressure and technology anxiety in the digital transformation of accounting: evidence from mandatory e-invoicing,Maciej Tuszkiewicz,Olga Grzybek,Ewa Wanda Maruszewska,,,,University of Economics in Katowice,University of Economics in Katowice,,,,
Accounting and Information Systems,Shaping the future of accounting: the role of strategic adaptability in AI-driven analytics (AIDA)-enabled digital transformation,Benjamin Lee,Gary Pan,Venky Shankararaman,,,,Singapore Management University,Singapore Management University,,,,
Accounting and Information Systems,Understanding the impact of generative AI on professional judgment,Sung Hwan Chai,Brian Nicholson,Leonid Sokolovskyy,George Salijeni,,,University of Manchester,University of Manchester,University of Manchester,,,
Accounting and Information Systems,The value of man in AI + man: field evidence from small business lending,Xia Chen,Qiang Cheng,Guanqun Dou,Shuai Shao,,,Singapore Management University,Singapore Management University,Fudan University,,,
Management Accounting,Prompting away the fixation: how the use of generative AI reduces fixation,Victor van Pelt,Dennis D. Fehrenbacher,,,,,WHU - Otto Beisheim School of Management,,,,,
Management Accounting,Confirmation bias in discretionary performance evaluations: the role of performance summaries,Victor Maas,Niluh Narsa,,,,,University of Amsterdam,,,,,
Management Accounting,Mitigation or exacerbation? The effects of public peer review on subjective performance evaluation bias,Xin Xu,Xian Huang,Yufei Liu,Yutong Zhang,,,Sun Yat-Sen University,University of Science and Technology of China,Xiamen University,,,
Management Accounting,Examining the effects of technology implementation on accountants’ perceptions of productivity,Clarence Goh,,,,,,,,,,,
Management Accounting,Stimulating pro-environmental behavior using management control: survey evidence from a city government,Berend van der Kolk,Eelke Wiersma,Willemijn Odekerken,,,,Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,,,,
Management Accounting,"Customer sentiment, sustainability management controls and AI augmentation: implications for corporate social responsibility and firm performance",Januário Monteiro,Rogério Lunkes,Mauricio Codesso,,,,University of East Anglia,Federal University of Santa Catarina,,,,
Management Accounting,Negotiated wholesale prices and strategic allocation of bargaining power,Toshiaki Wakabayashi,Michael Kopel,,,,,Waseda University,,,,,
Management Accounting,Incentive design with biased reviewers and compensation committee,Takahiro Morimitsu,Taichi Kimura,,,,,Meiji University,,,,,
Management Accounting,Performance targets as screening devices,Hikaru Mitsuhashi,Taichi Kimura,,,,,Nagoya City University,,,,,
Management Accounting,Accountants who surf the digital technology wave: sensemaking and sensegiving,Sharon Cotter,Breda Sweeney,Patricia Martyn,,,,University of Galway,University of Galway,University of Galway,,,
Management Accounting,"More voices, more value(s): exploring the potential and challenges of diversity in the finance function",Ariela Caglio,Angelo Ditillo,Anna Missaglia,,,,Bocconi University,Bocconi University,Bocconi University,,,
Management Accounting,Boundary expansion as an epistemic transition: prescriptive and interpretive modes of knowledge work in the accounting profession,Yan Li,Masafumi Fujino,,,,,Takushoku University,Nihon University,,,,
Management Accounting,Investment efficiency and short-run and long-run contracting,Samuel Pereira,,,,,,University of Porto,,,,,
Management Accounting,The fixed-cost fallacy: why cost structure is not a reliable measure of operating leverage,Gianluca F. Delfino,,,,,,Stockholm School of Economics,,,,,
Management Accounting,The effect of cost stickiness on the marginal value of cash: the role of financial constraints and economic cycles,Yves Levant,Reda Sefsaf,,,,,SKEMA Business School,University of Lille,,,,
Management Accounting,The value of information doesn’t keep well: internal information quality and competitive advantage,Hari Ramasubramanian,,,,,,Frankfurt School of Finance & Management,,,,,
Management Accounting,Managerial response to regulatory intensity: organizational slack and implications for operating efficiency,Somnath Das,Sandip Dhole,Li Liu,,,,University of Illinois Chicago,Monash University,Deakin University,,,
Management Accounting,Learning from errors - evidence from the field,Leonhard Grabe,,,,,,University of Cologne,,,,,
Management Accounting,Compensation incentives and the effect of chief sustainability officers,Jonathan Black,Tongqing Ding,Bjørn Jørgensen,Naomi Soderstrom,,,University of Melbourne,University of Melbourne,Copenhagen Business School,University of Melbourne,,
Management Accounting,The interaction effect of relative performance feedback and task interdependency in group settings,Laura Gomez-Ruiz,Maria J. Sanchez-Exposito,Carlos Eduardo Jijena,,,,Universidad Pablo de Olavide,Universidad Pablo de Olavide,,,,
Management Accounting,The effect of work location policies and peer norms on employees’ misreporting,Lufi Mursita,Vincent Chong,Stijn Masschelein,Isabel Wang,,,University of Western Australia,University of Western Australia,University of Western Australia,,,
Management Accounting,The effect of working time flexibility in teams on subjective performance evaluation – the case of reduced working time,Jonas Fries,Ivo Schedlinsky,Friedrich Sommer,,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,LMU Munich,,,,
Management Accounting,Supervisor discretion and employee working from home,Sander van Triest,,,,,,,,,,,
Management Accounting,Signaling purpose,Marina Talantceva,Dirk Sliwka,Timo Vogelsang,,,,University of Cologne,University of Cologne,,,,
Management Accounting,How peer evaluation-based bonus pool allocations influence employees’ rating behaviors,Daphni Lehmann,Marcel van Rinsum,Evelien Reusen,Erik Peek,,,Erasmus University Rotterdam,Erasmus University Rotterdam,Erasmus University Rotterdam,,,
Management Accounting,Noise effects on effort and performance: the influence of incentives and implicit targets,Steven Smith,Tyler Thomas,,,,,Brigham Young University,,,,,
Management Accounting,Self-focused ethical climate and knowledge hoarding: the compensating role of performance measurement in enabling organizational learning,Flavia Schmid,,,,,,,,,,,
Management Accounting,When management controls and auditors’ purpose collide: the mitigating effect of professional identity,Rosemarijn de Bruin,Lucia Bellora-Bienengräber,Paula Dirks,Sally Widener,,,University of Groningen,University of Duisburg-Essen,University of Groningen,,,
Management Accounting,Does an open performance information policy curb or foster gossip in the workplace? The role of output-based performance appraisal,Sabra Khajehnejad,Marte Abts,,,,,KU Leuven,,,,,
Management Accounting,Career patterns as evidence of how management controllers successfully construct their identity,Paul d’Argenlieu,Marie Redon,,,,,,,,,,
Management Accounting,Revisiting capital budgeting in family firms: a systematic review and conceptual integration,Lilia Gutierrez,Miguel Gil,Timur Uman,,,,Instituto Tecnológico y de Estudios Superiores de Monterrey,Jönköping University,,,,
Management Accounting,Uncovering the skills and competency requirements for accounting professionals,Virpi Ala-Heikkila,Mika Ylinen,Mikko Ranta,Marko Jarvenpaa,Kip Krumwiede,,University of Vaasa,University of Vaasa,University of Vaasa,University of Vaasa,,
Management Accounting,From infrastructure to accounting gadgets: how the spread of cost management tools on flight decks entices pilots to efficient flying through body and play,David Crvelin,Victoria Honsel,,,,,University of Birmingham,,,,,
Management Accounting,When traces count: governing consequentiality in mixed visibility regimes,Leona Wiegmann,Aldonio Ferreira,,,,,ESCP Business School,,,,,
Management Accounting,Reconfiguring large-scale infrastructure project success: project accounting as a mutable infrastructure of concern,Peter Skaerbaek,Tim Themsen,Kjell Tryggestad,,,,Copenhagen Business School,Copenhagen Business School,,,,
Management Accounting,The dark side of creative engagement and job complexity: a moderated mediation model linking informal controls to agility performance in startups,Thiago Tomaz Luiz,Ilse Beuren,,,,,Federal University of Santa Catarina,,,,,
Management Accounting,How management control systems shape B2B digital performance? The mediating role of data-driven decision making,Celliane Ferraz Pazetto,Silvana Meurer,Thiago Tomaz Luiz,Ilse Beuren,,,CUNEF Universidad,Universidade Federal de Santa Catarina,Federal University of Santa Catarina,,,
Management Accounting,"Performance measurement systems use, social performance and economic performance: relations and mediating effect",Adel Beldi,Kerim Karmeni,,,,,IESEG School of Management,,,,,
Management Accounting,The autopoiesis of control: management control systems as communication in complex healthcare environments,Pingli Li,Xuegang Cui,Erik Strauss,,,,University of Southampton,Beijing Normal University,,,,
Management Accounting,Developing financial sustainability in public research infrastructure: an action research perspective from SUS-MIRRI.IT,Edoardo Borlatto,Edoardo Crocco,Elisa Truant,Valeria Prigione,Giovanna Varese,,Università degli Studi di Torino,University of Turin,University of Turin,Università degli Studi di Torino,,
Management Accounting,Translating global conservation goals: a multi-level analysis,Sofia Yasmin,Chaudhry Ghafran,Sven Modell,,,,University of Manchester,Durham University,,,,
Management Accounting,Discretion over bonus timing,Saskia Opitz,Timo Vogelsang,Dirk Sliwka,Sidney Block,,,WHU - Otto Beisheim School of Management,Frankfurt School of Finance & Management,University of Cologne,,,
Management Accounting,What do resumes tell us about accounting rookie job candidates’ research potential?,Bin Ke,Zhen Long,,,,,National University of Singapore,,,,,
Management Accounting,Board knowledge breadth and performance metric variety in CEO bonus contracts,Paula Dirks,Sebastian Firk,Melissa Martin,Alexander van Slooten,,,University of Groningen,University of Duisburg-Essen,University of Illinois Chicago,,,
Management Accounting,Coordination incentive design and information exchange between sales and production functions,Clara Xiaoling Chen,Lan Guo,Yuming Hu,Nan Jiang,,,University of Illinois Urbana-Champaign,Wilfrid Laurier University,Jinan University,,,
Management Accounting,Do performance targets enhance supplier performance? Evidence on complementary and substitutive effects of trust and behavior control,Henri Dekker,Takaharu Kawai,Junya Sakaguchi,,,,Vrije Universiteit Amsterdam,Doshisha University,,,,
Management Accounting,Management control configurations for organizational adaptability,Philipp Sekol,Utz Schaeffer,Daniel Schaupp,,,,WHU - Otto Beisheim School of Management,WHU - Otto Beisheim School of Management,,,,
Management Accounting,"Screening precommitment, candidate quality, and time-to-hire: an experimental investigation",Anil Kshatriya,Adam Presslee,Ala Mokhtar,,,,ESSEC Business School,University of Waterloo,,,,
Management Accounting,"Personality traits, self-selection and incentives",Erika Bognar,Anna Rohlfing-Bastian,Sara Bormann,Michael Kosfeld,,,Goethe University Frankfurt,Goethe-University Frankfurt,Goethe-University Frankfurt,,,
Management Accounting,"Does operating risk information shape project selection, and does it stick? Experimental evidence",Anisa Shyti,Gianluca F. Delfino,,,,,Stern at NYU Abu Dhabi,,,,,
Management Accounting,"""Why bother with new technologies?"" Exploring the gap between analytics’ promises and realities in management accountants’ forecasting",Patrice Landagaray,Claire Ciampi,,,,,IESEG School of Management,,,,,
Management Accounting,From compliance to control: integrating sustainability reporting requirements into sustainability control systems,Ivo Hristov,Matteo Cristofaro,Lorenzo Coronella,,,,University of L’Aquila,University of Rome Tor Vergata,,,,
Management Accounting,"A never-settled integration: business intelligence, management control, and the work behind the dashboard",Paulo Ribeiro,Joao Oliveira,Pedro Campos,,,,,University of Porto,University of Porto,,,
Management Accounting,Living with net-zero tensions: how performance measurement and management systems mediate sustainability paradoxes in the energy sector,Siamak Soudani,Eleni Chatzivgeri,,,,,ESCP Business School,University of Edinburgh,,,,
Management Accounting,Reframing performance: how Russian SMEs reconstitute PMMS under sanctions-induced institutional disruption,Michael Axenrod,Siamak Soudani,,,,,ESCP Business School,ESCP Business School,,,,
Management Accounting,Social sustainability and the compromise between collectivity and individuality: a management control perspective,Amalie Ringgaard,Per Nikolaj Bukh,Michelle Carr,,,,University College Cork,Aalborg University,University College Cork,,,
Management Accounting,Organizational commitment and information sharing in the social construction of budgetary participation,Cristina Hillen,Carlos Eduardo Lavarda,,,,,Universidade Federal de Santa Catarina / Universidade Estadual do Paraná,Federal University of Santa Catarina,,,,
Management Accounting,New work patterns under algorithmic management control: diverging perspectives on the approach of control-evidence from standardized retail chains,Gary(Guanlin) Wang,Yasheng Chen,Chunyao Yang,,,,University of Bristol,Xiamen University,Xiamen University,,,
Management Accounting,How strategic orientation shapes network controls: insights from plural form franchising,Martine Cools,Alexandra van den Abbeele,Jens van Mele,,,,KU Leuven,KU Leuven,IESEG School of Management,,,
