Category,Name,Author_1,Author_2,Author_3,Author_4,Author_5,Author_6,Author_7,Author_8,Author_9,Author_10,Author_11,Author_12,Author_13,Author_14,Author_15,Author_16,Uni_1,Uni_2,Uni_3,Uni_4,Uni_5,Uni_6,Uni_7,Uni_8,Uni_9,Uni_10,Uni_11,Uni_12,Uni_13,Uni_14,Uni_15,Uni_16
Financial Reporting,Shareholders’ Perception on the Separate Disclosure of “Bonus” Versus “Non-Equity Incentive Plan Compensation” in the Summary Compensation Table,Shu-Ling Wu,Shengmin Hung,Wulung Li,,,,,,,,,,,,,,National Taiwan University,Soochow University,,,,,,,,,,,,,,
Financial Analysis,"Common Ownership, Advertising, and Product Market Competition",Xiaotian Liu,Yaxuan Qi,Yin Wang,Wenji Xu,,,,,,,,,,,,,Shanghai University of International Business and Economics,City University of Hong Kong,Singapore Management University,,,,,,,,,,,,,
Auditing,Market Reaction to Voting Intention Disclosures,Tzu-Ting Chiu,Xi Li,Rusha Nandy,Simone Traini,,,,,,,,,,,,,NHH - Norwegian School of Economics,London School of Economics and Political Science,NHH - Norwegian School of Economics,,,,,,,,,,,,,
Financial Reporting,Ownership Type and Hospital Efficiency: A Stochastic Frontier Analysis,Haiyan (Helen) Zhou,Mohammad Rakibul Islam,,,,,,,,,,,,,,,University of Texas Rio Grande Valley,,,,,,,,,,,,,,,
Financial Reporting,Norm Sensitivity and Occupational Fraud Dynamics in Intra-Firm Peer Networks: A Mixed-Method Approach,Christian Stindt,Alexandra Eckert,Matthias Meyer,,,,,,,,,,,,,,Hamburg University of Technology,Hamburg University of Technology,,,,,,,,,,,,,,
Financial Reporting,Clawback effectiveness in deterring financial reporting misstatement: The moderating role of the family,Francesca Rossignoli,Velia Cenciarelli,Andrea Lionzo,,,,,,,,,,,,,,University of Verona,Università Cattolica del Sacro Cuore,,,,,,,,,,,,,,
Financial Reporting,Audit committees’ networks and audit fees: A European analysis,Ruth Garcia Cobo,Cesar Zarza Herranz,Felix Lopez Iturriaga,Monika Causholli,,,,,,,,,,,,,University of Valladolid,Universidad de Alcalá,Universidad de Valladold,,,,,,,,,,,,,
Financial Reporting,The voice of small shareholders at annual general meetings,Alberto Quagli,Francesco Avallone,Costanza Di Fabio,Paola Ramassa,,,,,,,,,,,,,Università degli Studi di Genova,Università degli Studi di Genova,Università degli Studi di Genova,,,,,,,,,,,,,
Financial Reporting,Collaborative or not Collaborative? Stakeholder Engagement Approaches in Italian Listed Companies,Clara Benfante,Valentina Ghinizzini,Veronica Tibiletti,Dina Lucia Todaro,,,,,,,,,,,,,University of Parma,University of Parma,Università di Parma,,,,,,,,,,,,,
Financial Reporting,The Assignment of Intellectual Property Rights and Innovation,Stella Yeayeun Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Anywhere but Here: Pay Transparency and Human Capital Allocation,Xixi Xiao,Yifei Lu,Xingyu Shen,,,,,,,,,,,,,,University of Hong Kong,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,
Financial Reporting,"Regulatory Attention, Innovation and Internal Information Environment",Olga Bogachek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Unintended Regulatory Spillovers: The Impact of Bank Regulatory Oversight on Environmental Enforcement,John Gallemore,Vincent Giese,,,,,,,,,,,,,,,University of North Carolina,,,,,,,,,,,,,,,
Financial Reporting,Pay Transparency and Patient Satisfaction,Kuanning Cai,Jia Guo,Jeffrey Ng,NanYang,,,,,,,,,,,,,Hong Kong Polytechnic University,Hong Kong Polytechnic University,University of Hong Kong,,,,,,,,,,,,,
Financial Reporting,Between Transparency and Privacy: Investor Identity Verification and Demand for Crypto Tokens,Yang Ding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,CEO Extraversion and Shareholders’ Say on Pay Votes,Evelyn Intan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Does Lender Monitoring Spill Over into Supply Chain Contracts?,Ting Dai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,"Ex-Ante Litigation Risk, CEOs’ Tournament Incentives, and Stock Price Crash Risk",Yenn-Ru Chen,Jyun-Ying Fu,Chia-Hsiang Weng,,,,,,,,,,,,,,National Chengchi University,National Taiwan University,,,,,,,,,,,,,,
Financial Reporting,The Effect of IFRS 16 Implementation on Enterprise Value: Evidence from DAX 40 Companies,Tetiana Paientko,Jan-Hendrik Meier,Aswini Shrestha,,,,,,,,,,,,,,Berlin University of Applied Sciences of Economics and Techniques,Kiel University of Applied Science,,,,,,,,,,,,,,
Financial Reporting,"CEO Overconfidence, Other Comprehensive Income Volatility and Firm Value",Khaled Ghozzi,Lakhal Faten,Bilel Bezouiech,,,,,,,,,,,,,,IPAG Business School Nice,Léonard de Vinci Pôle Universitaire,,,,,,,,,,,,,,
Financial Reporting,The Unintended Costs of Whistleblower Protection: Evidence from the Dodd-Frank Act and Corporate Innovation,Tingting Tao,Jiao Ji,Hanwen Sun,,,,,,,,,,,,,,University of Sheffield,University of Sheffield,,,,,,,,,,,,,,
Financial Reporting,Corporate Political Connections and Value Appropriation in Buyer-Supplier Relationships: Evidence from U.S. Firms,Angie Wang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Mutual Fund Governance of Corporate Political Spending: The Case of Politically Motivated Charitable Giving,Erdong Wang,Disen Albrecht,,,,,,,,,,,,,,,University of Wyoming,,,,,,,,,,,,,,,
Financial Reporting,Power through Similarity: Does CEO-CFO Partnership Enhance Firm Resilience to Natural Disasters?,Leah Marlene Matzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Is Overconfidence a Moderator? The Effect of Managerial Ability on Firm’s Internal Control,Mingyu Li,Fanis Tsoligkas,Pietro Perotti,,,,,,,,,,,,,,University of Bath,University of Bath,,,,,,,,,,,,,,
Financial Reporting,The Effects of ESG Reputation Risks and Investor Attention towards Sustainability on Earnings Management,Rudresh Pandey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Contagion Effects of Equity Financing Announcements Within Business Groups,Douglas Cumming,Sanchit Jain,Varun Jindal,,,,,,,,,,,,,,Florida Atlantic University,Indian Institute of Management Bangalore,,,,,,,,,,,,,,
Financial Reporting,Shareholder Stability and Earnings Management,Yuangao Xiang,Xue Li,Nanzhi Xue,,,,,,,,,,,,,,Tongji University,Shandong University,,,,,,,,,,,,,,
Financial Reporting,Board-level Employee Representation and Digital Transformation,Marc Steffen Rapp,Lion Fischer,,,,,,,,,,,,,,,University of Marburg,,,,,,,,,,,,,,,
Financial Reporting,Exploring Corporate Governance’s Role in the Green Transition,Dorota Dobija,Łukasz Kozłowski,Joanna Krasodomska,Grygorii Kravchenko,Ewelina Zarzycka,,,,,,,,,,,,Kozminski University,Kozminski University,Krakow University of Economics,Kozminski University,,,,,,,,,,,,
Auditing,Capital Allocation to Assurance Activities: The Impact of Financial Constraints on Internal and External Auditing Investments,Benjamin Fligge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auditing,Brick or Treat: Shareholder Activism and Corporate Leasing,Fang Li,Gaizka Ormazabal,CarlesVergara Alert,,,,,,,,,,,,,,Lancaster University,IESE Business School,,,,,,,,,,,,,,
Accounting and Governance,Female Representation on Executive Committees and Firm Performance: A European study,Josep García-Blandón,Josep Argiles-Bosch,Diego Ravenda,David Castillo-Merino,,,,,,,,,,,,,"University Ramon Llull,IQS School of Management",University of Barcelona,TBS Education,,,,,,,,,,,,,
Financial Reporting,Regulatory Costs and Vertical Integration: Evidence from Supply Chain Disclosure Regulations,Enshuai Yu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,The Relationship between CEO Pay Ratio and Share Repurchases,Yuan-Ju Chen,Lui-Ching Tsai,Chaur-Shiuh Young,,,,,,,,,,,,,,National Cheng Kung University,National ChiaYi University,,,,,,,,,,,,,,
Accounting and Governance,Does board skepticism improve oversight effectiveness? Evidence from directors’early career experience,Yuyan Guan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Does Ideology really Matter in Accounting Standard Setting? Evidence from the European Parliament,Fabian Albrecht,Jochen Zimmermann,,,,,,,,,,,,,,,University of Bremen,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,The relationship between professional accountants and sustainability: an institutional analysis in the European Union,Matteo Pozzoli,Elbano De Nuccio,,,,,,,,,,,,,,,Parthenope University of Naples,,,,,,,,,,,,,,,
Accounting and Governance,Beyond Monetary Incentives: The Role of Meaningfulness in Professional Behavior and Performance,Li Lai,Chundan Lan,Joshua Madsen,ShanWu,,,,,,,,,,,,,Southwestern University of Finance and Economics,"University of Minnesota, Carlson School of Management","University of Minnesota, Carlson School of Management",,,,,,,,,,,,,
Public Sector Accounting & Not-For-Profit Accounting,The Mafia influence in the Business Context: Infiltration of Criminal firms in the Public Procurement System,Camilla Ciappei,Andrea Bafundi,Michele Fabrizi,Antonio Parbonetti,,,,,,,,,,,,,University of Padova,Università di Padova,University of Padova,,,,,,,,,,,,,
Accounting and Governance,"Unpacking ESG Risk Disclosure Determinants: The Role of Stakeholder, Shareholder, and Managerial Influence",Marisa Agostini,Daria Arkhipova,Marco Fasan,Silvia Panfilo,,,,,,,,,,,,,Università Ca’ Foscari Venezia,"Università Ca’ Foscari Venezia, Venice School of Management","Università Ca’ Foscari Venezia, Venice School of Management",,,,,,,,,,,,,
Financial Analysis,Boardroom Backscratching and Dividend Policies,Solomon Opare,Mabel D Costa,Anthony Kyiu,,,,,,,,,,,,,,Massey University,Durham University,,,,,,,,,,,,,,
Financial Analysis,"Investor Sentiment, Stock Liquidity, and the Role of Pre-Earnings Disclosures",Yi-Mien Lin,Jing-Chi Chen,,,,,,,,,,,,,,,National Chung Hsing University,,,,,,,,,,,,,,,
Taxation,Options Trading Activities and Underlying Firms’ Tax Avoidance Behavior,Mohammad Hendijani Zadeh,Zahra Jalali,Collins Okafor,,,,,,,,,,,,,,North Carolina A&T State University,McGill University,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,ESG Ratings and Financial Reporting Quality in Sensitive Industries: Why Social Performance Matters,Rimona Palas,Dov Solomon,Dalit Gafni,Ido Baum,,,,,,,,,,,,,College of Law and Business,College of Law and Business,College of Management Academic Studies,,,,,,,,,,,,,
Financial Reporting,Minority Representation at Work,Matthias Breuer,Wei Cai,Anthony Le,Felix Vetter,,,,,,,,,,,,,Columbia University,Columbia University,Columbia University,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Labor Unions and Income Smoothing: A Panel Analysis using French micro-data,Fabien-Antoine Dugardin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Governance,Are firms ideologically fickle?,Bryce Cross,Matthew Boland,Douglas Cumming,,,,,,,,,,,,,,Saint Mary’s University,Saint Mary’s University,,,,,,,,,,,,,,
Accounting and Governance,Resisting the Trend: The Role of Boards in Tailoring CEO Compensation for Firms with Distinct Strategies,Sebastian Firk,Alexander Hofer,Alexander Van Slooten,,,,,,,,,,,,,,University of Groningen,WUVienna,,,,,,,,,,,,,,
Public Sector Accounting & Not-For-Profit Accounting,How regulation prompts non-target firms to comply: remuneration committee characteristics in Australia,Doowon Lee,Sue Wright,Bobae Choi,Dongyue Yang,,,,,,,,,,,,,University of Sydney,University of Technology Sydney,University of Queensland,,,,,,,,,,,,,
Auditing,Shocked but Not Awed: The Impact of Internal Control Material Weaknesses on Employee Turnover,Maya Thevenot,Tonya Blocker,Mohammad Meah,,,,,,,,,,,,,,Florida Atlantic University,Sam Houston State University,,,,,,,,,,,,,,
Taxation,Do Rising Tides Clean the Waters? Large Facility Openings and Local Misconduct,Yongoh Roh,Yuxiang Zheng,Yaping Zheng,,,,,,,,,,,,,,McGill University,Rutgers University,,,,,,,,,,,,,,
Management Accounting,A Competitive Wake-up Call? The Impact of Investor-Manager Direct Interaction on Analyst Forecast Accuracy,Xiaoyue Song,Junrui Zhang,Weina Zhao,,,,,,,,,,,,,,Xi’an Jiaotong University,Xi’an Jiaotong University,,,,,,,,,,,,,,
Public Sector Accounting & Not-For-Profit Accounting,Cooperative bank mergers in Finland and Germany—A comparative empirical analysis on narrated hard and soft rationales,Pasi Sajasalo,Tommi Auvinen,Eric Meyer,Antti Rautiainen,,,,,,,,,,,,,University of Jyväskylä,University of Jyväskylä,Universität Munster,,,,,,,,,,,,,
Auditing,The Impact of Board and Audit Committee Interlocks on Internal Control Weaknesses: An Empirical Study of U.S.-Listed Companies,Fang Gong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,When Subordinate Executives Matter: Internal Governance and Carbon Emissions,Taychang Wang,Jamshed Iqbal,Achmad Faizal Azmi,Tsung-Kang Chen,Yi Jie Tseng,,,,,,,,,,,,National Taiwan University,University of Jyväskylä,Lancaster University,National Yang Ming Chiao Tung University,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,"Corporate Greenwashing Worldwide: An Investigation of ESG Performance, Disclosure, and Assurance for Global Investors",Keith Duncan,Kim Kercher,George Anyaba,Colette Southam,,,,,,,,,,,,,Bond University,"Bond University, Bond Business School",Infinity Bank,,,,,,,,,,,,,
Management Accounting,"Organizational Psychological Capital, Organizational Climate, and Corporate Credit Risk",Yun Hao,Tsung-Kang Chen,Yi Jie Tseng,,,,,,,,,,,,,,National Yang Ming Chiao Tung University,National Yang Ming Chiao Tung University,,,,,,,,,,,,,,
Accounting and Governance,General Counsel in Top Management: Balancing Optimism and Caution in Earnings Calls,Achmad Faizal Azmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,From Words to Actions: CEO Activism and Sustainability Reporting,Androniki Triantafylli,Parvathy Vijayakumar,,,,,,,,,,,,,,,Queen Mary University of London,,,,,,,,,,,,,,,
Accounting and Governance,How does Minority Shareholders’ Representation on Boards affect the Integration of Sustainability Criteria into Executive Remuneration Contracts? Evidence from,Carla Gravellu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auditing,Audit Committee Quality and the Type II Equity Agency Problem,Mattias Hamberg,Katarzyna Cieslak,,,,,,,,,,,,,,,Gävle University College,,,,,,,,,,,,,,,
Financial Analysis,"Asymmetric Cost Behavior, Capital Structure and Profitability",Antonio Davila,Ismail El Fassi,Daniel Oyon,Nicolas Rudolf,,,,,,,,,,,,,IESE Business School,University of St. Gallen,HEC Lausanne,,,,,,,,,,,,,
Financial Analysis,Do Banks Price Undisclosed SEC Investigations?,Wei Wang,Inder Khurana,K.K. Raman,Xiaoyu Zhu,,,,,,,,,,,,,Temple University,University of Missouri-Columbia,University of Texas at San Antonio,,,,,,,,,,,,,
Accounting and Governance,"Gender Diverse Boards, Honest Books: The Earnings Management Effect of California SB 826",Antonio B.V. Vazquez,Cristina Grande-Herrera,,,,,,,,,,,,,,,Stockholm School of Economics,,,,,,,,,,,,,,,
Management Accounting,"When Capable Managers Know Tech: Managerial Ability, IT Expertise, and Cybersecurity Risk Management",Li-Kai Liao,Sophia H.T. Liu,Audrey Wenhsin Hsu,Shih-Han Chiu,,,,,,,,,,,,,National Yunlin University of Science and Technology,National Taiwan University,National Taiwan University,,,,,,,,,,,,,
Financial Reporting,Does Corporate Culture Impact on Firms’ Carbon Emissions?,Andrea Melis,Guo Lu,Georgios Voulgaris,Alice Liang Xu,,,,,,,,,,,,,University of Cagliari,University of Manchester,University of Manchester,,,,,,,,,,,,,
Accounting and Governance,Corporate governance and environmental performance: An international qualitative comparative analysis,Luigi Rombi,Andrea Melis,Reggy Hooghiemstra,,,,,,,,,,,,,,University of Cagliari,University of Cagliari,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Exploring the Disclosure of Sustainability Criteria in Executive Remuneration Design: International Evidence,Andrea Melis,Mariem Khalfaoui,Luigi Rombi,,,,,,,,,,,,,,University of Cagliari,University of Cagliari,,,,,,,,,,,,,,
Auditing,The COSO Risk Management Framework from a Risk Governance Perspective,Nadine Otter,Michael Kuttner,,,,,,,,,,,,,,,Helmut-Schmidt-University / University of the Federal Armed Forces Hamburg,,,,,,,,,,,,,,,
Financial Analysis,Does Sports Inspire Managerial Risk-Taking Incentives?,Yudong Liu,Jean Canil,Sigitas Karpavicius,Chia-Feng (Jeffrey) Yu,,,,,,,,,,,,,University of Adelaide,University of Adelaide,University of Adelaide,,,,,,,,,,,,,
Accounting and Governance,Local Public Corruption and Managerial Risk Incentives,Nikolaos Kalyvas,Dimitrios Ntounis,Theodora Bermpei,,,,,,,,,,,,,,Kent Business School,University of Southampton,,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Top Management Team Tournament and the Quality of Corporate Social Responsibility Reporting: Evidence from China,Yi Wang,Hwa-Hsien Hsu,,,,,,,,,,,,,,,ISEG Advance Centro de Investigação,,,,,,,,,,,,,,,
Accounting and Governance,The Information Environment of Firms with Worker Representation on Corporate Boards,Martin Thomsen,Cristi Gleason,Christoph Watrin,Sascha Kieback,,,,,,,,,,,,,University of Siegen,University of Iowa,Muenster University,,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Female representation in top management team and corporate carbon performance,Benita Gullkvist,Juha Mäki,,,,,,,,,,,,,,,University of Vaasa,,,,,,,,,,,,,,,
Financial Reporting,The Impact of State Ownership on Dividend Policies: An Empirical Investigation of Western European Energy and Utilities Companies,Gregor Prandl,Gabriel Matejka,Ewald Aschauer,,,,,,,,,,,,,,WUVienna,WUVienna,,,,,,,,,,,,,,
Financial Reporting,The Effectiveness of Building a Corporate Governance System Led by Private Equity Funds: Consideration of management involvement by shareholder activism,George Hara,Hiroko Inokuma,,,,,,,,,,,,,,,Chinese University of Hong Kong,,,,,,,,,,,,,,,
Financial Reporting,The Role of Accountability in Financial Performance: Evidence from the European Energy Sector,Liliana Pimentel,Andreia Fernandes,,,,,,,,,,,,,,,University of Coimbra,,,,,,,,,,,,,,,
Financial Reporting,The effect of equity blockholders on the voluntary delistings: Empirical evidence from the USA,Zhihuan Li,Nick Tsitsianis,Zhe Li,,,,,,,,,,,,,,Queen Mary University of London,Queen Mary University of London,,,,,,,,,,,,,,
Management Accounting,Net Present Value as a calculative practice with gamification elements: The case of “old gamification” in medicine development,Jari Huikku,Terhi Chakhovich,Katja Kolehmainen,,,,,,,,,,,,,,Aalto University,LUT University,,,,,,,,,,,,,,
Management Accounting,Cross-domain identity growth: the dynamics of IT-driven professional transformation,Pingli Li,Mahmoud Al-Sayed,,,,,,,,,,,,,,,University of Southampton,,,,,,,,,,,,,,,
Management Accounting,"CEO competencies, Covid-19, ESG and management earnings forecasts",Gerald Eisenhut,Margarethe Rammerstorfer,Karl Weinmayer,,,,,,,,,,,,,,WUVienna,affiliation not provided,,,,,,,,,,,,,,
Management Accounting,Designing Incentive Systems for Supervisory and Management Boards: Possibilities and Limitations,Julia Ortner,Louis Velthuis,,,,,,,,,,,,,,,Mainz University,,,,,,,,,,,,,,,
Management Accounting,Assessing ESG Metric Designs: Implications for ESG Outcomes and CEO Compensation,In Gyun Baek,Jeonghoon Hyun,Jongwon Park,,,,,,,,,,,,,,National University of Singapore,Chung-Ang University,,,,,,,,,,,,,,
Management Accounting,Does sustainability accounting disclosure regulation change accounting practices? Research opportunities in the wake of CSRD,Johanna Sylvander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Creating ESG Risk silos or Breaking Them Down? The Effects of Risk Inventory Format and ESG Mission on Risk Response,JoannaVan Meerbeeck,Eddy Cardinaels,Sabra Khajehnejad,Dieter Smeulders,AlexandraVan Den Abbeele,,,,,,,,,,,,KU Leuven,Tilburg University,KU Leuven,University of Bern,,,,,,,,,,,,
Social and Environmental Accounting & Ethical Issues in Accounting,Beyond Disclosure: How Firms Reshape Organizational Design in Response to the Sustainability Reporting Regulation,Anna Koelle,Christian Hofmann,Nina Schwaiger,KatharinaWeiss,Hoa Ho,,,,,,,,,,,,LMU Munich,LMU Munich,LMU Munich,Ludwig-Maximilians-Universität München,,,,,,,,,,,,
Management Accounting,Research on the Effect of Enterprise Digital Transformation on Female Employment,Aolin Leng,Zhixuan Zhou,Guangyuan Xing,,,,,,,,,,,,,,Northwestern Polytechnical University,Northwestern Polytechnical University,,,,,,,,,,,,,,
Management Accounting,The joint effects of incentive framing and potential budget auditing on subordinates’ budget reporting honesty,David Lindermüller,Miriam Maske,Bernhard Hirsch,,,,,,,,,,,,,,Bundeswehr University Munich,University of the Bundeswehr München,,,,,,,,,,,,,,
Financial Reporting,Setting Earnings Guidance under CEO Turnover Threat,Doron Hadass,DanWeiss,,,,,,,,,,,,,,,Reichman University,,,,,,,,,,,,,,,
Accounting and Governance,Power Exchange in Boards of Directors: Implications for Participative Corporate Governance,Danny Ben Shahar,Avraham Carmeli,Eyal Solganik,DanWeiss,,,,,,,,,,,,,Tel Aviv University,Tel Aviv University,Reichman University,,,,,,,,,,,,,
Management Accounting,Worth Fixing? Incentive System Redesign when Earnings Informativeness is Low,Peter Oh,Jeonghoon Hyun,Kenneth Merchant,Joonil Lee,,,,,,,,,,,,,McGill University,Chung-Ang University,University of Southern California,,,,,,,,,,,,,
Financial Analysis,The use of financial incentives for managerial compensation: the role of firm size,Sofia Lourenço,Iryna Berova Alves,,,,,,,,,,,,,,,"University of Lisbon, ISEG",,,,,,,,,,,,,,,
Management Accounting,We are different: personal characteristics and the use of real-time relative performance information,Gary (Guanlin) Wang,Mariano Scapin,Christopher S. Chapman,,,,,,,,,,,,,,University of Bristol,University of Bristol,,,,,,,,,,,,,,
Management Accounting,Prompting Away the Fixation: How the Use of Generative AI Reduces Surrogation,Dennis Fehrenbacher,Victor Van Pelt,,,,,,,,,,,,,,,Monash University,,,,,,,,,,,,,,,
Management Accounting,Does Artificial Intelligence Elevate or Undermine Strategic Distinctiveness? An Empirical Investigation of AI in Strategizing,Sebastian Firk,Yannik Gehrke,Marvin Hanisch,Jan Hennig,Michael Wolff,,,,,,,,,,,,University of Groningen,University of Hamburg,University of Groningen,University of Groningen,,,,,,,,,,,,
Management Accounting,Trends in controllers’ roles and skills: Longitudinal evidence from Finland,Tytty Elo,Jaan-Pauli Kimpimäki,Terhi Chakhovich,,,,,,,,,,,,,,LUT University,LUT University,,,,,,,,,,,,,,
Management Accounting,Accountants in a Digital Era—The Role of Protective Identity Work and Identity Fluidity,Virpi Ala-Heikkilä,Mika Ylinen,Marko Jarvenpaa,Minna Sadeharju,,,,,,,,,,,,,University of Vaasa,University of Vaasa,University of Vaasa,,,,,,,,,,,,,
Management Accounting,Evolving Beyond Numbers: Management Accountant Roles in the Age of Digital Transformation,Janina Matern,Klaus Derfuss,Kristopher Pantani,Sina Sauerland,Christian Geyer,,,,,,,,,,,,University of Hagen,University of Hagen,University of Hagen,affiliation not provided,,,,,,,,,,,,
Management Accounting,Proprietary Costs and Divisional Transparency,Victor Schauer,Christian Hofmann,Nina Schwaiger,,,,,,,,,,,,,,LMU Munich,LMU Munich,,,,,,,,,,,,,,
Management Accounting,Management Control Systems in SMEs: The Role of Cost Control in Working Capital Management,Evelyn Braumann,Melanie Feldhues,,,,,,,,,,,,,,,Vrije Universiteit Amsterdam,,,,,,,,,,,,,,,
Management Accounting,"Demand Variability, Predictability, and Cost Structure",James Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management Accounting,Cultural Perspectives on Pay for Performance: Exploring its Impact on Motivation and Work Effort,Flavia Schmid,Maël Schnegg,Klaus Moeller,,,,,,,,,,,,,,University of St. Gallen,University of St. Gallen,,,,,,,,,,,,,,
Financial Reporting,A New Era of Professional Development in Big 4 Firms: The Role of Management Control Practices,Michelle Carr,Stefan Jooss,Amalie Ringgaard,,,,,,,,,,,,,,University College Cork,University of Queensland,,,,,,,,,,,,,,
Financial Reporting,Don’t boss me around: Mandated CSR investing and managers’ allocation decisions,Adam Vitalis,Xi (Jason) Kuang,Jonathan Kugel,Jordan Bable,,,,,,,,,,,,,University of Waterloo,Georgia Institute of Technology,Christopher Newport University,,,,,,,,,,,,,
Financial Reporting,Beyond Pay-For-Performance: Change Enough or Don’t Change at All,Maël Schnegg,Jonas Solbach,Klaus Moeller,,,,,,,,,,,,,,University of St. Gallen,University of St. Gallen,,,,,,,,,,,,,,
Financial Reporting,Navigating Scandals: A Longitudinal Analysis of Corporate Communication Strategies in Sustainability Reporting and Social Media,Alice Pennesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Governance,When Strategy and Structure Benefit Shareholders: The Crucial Role of Aligning Organizational Structure with Organizational Strategy to Maximize Return on Asse,Carol Pomare,Rajiv Banker,Jorge Romero,,,,,,,,,,,,,,Mount Allison University,Temple University,,,,,,,,,,,,,,
Accounting and Governance,ESG Incentives in Executive Compensation,Matthias Efing,Stefanie Ehmann,Patrick Kampkoetter,Raphael Moritz,,,,,,,,,,,,,HEC Paris,Tuebingen University,Tuebingen University,,,,,,,,,,,,,
Management Accounting,"Forecast and Budget Design Interdependence, Forecast Roles, and Management Control Effectiveness",Daniel Mucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management Accounting,How to Control Boundary Spanners for Good Cooperation?—A study in the AEC industry,Garlef Hupfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Governance,"Target Difficulty, Effort-Reward Imbalance and Employee Wellbeing: Evidence from a Longitudinal Survey",Berend Van Der Kolk,Martijn Schoute,Makoto Kuroki,,,,,,,,,,,,,,Vrije Universiteit Amsterdam,affiliation not provided,,,,,,,,,,,,,,
Accounting and Governance,The psychological safe budgeting process and ambitious budget targets—An interaction perspective,Anna Jensen,Thomas Kristensen,Thomas Toldbod,,,,,,,,,,,,,,Aarhus University,Aarhus University,,,,,,,,,,,,,,
Management Accounting,The Effects of Performance Targets on Employee Learning,Jacob Zureich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Information Systems,Time to Innovate: The Role of Input Incentives in Creative Production,Michael Milde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Reporting,Creativity under AI performance evaluation,Michele Fumagalli,,,,,,,,,,,,,,,,Bocconi University,,,,,,,,,,,,,,,
Management Accounting,Management accounting practices and Corporate sustainability: Addressing the CSRD requirements through a performance management framework,Ivo Hristov,Cory Searcy,Alessandro Mechelli,,,,,,,,,,,,,,University of L’Aquila,Toronto Metropolitan University,University of Rome-TorVergata,,,,,,,,,,,,,
Management Accounting,Interpersonal Affect versus Field-Specific Knowledge: A Natural Experiment in Blinded Performance Evaluations,Jose Luis Ucieda Blanco,Jacobo Gomez Conde,Ricardo Malagueno,Beatriz Santos-Cabalgante,,,,,,,,,,,,,Universidad Autónoma de Madrid,Universidad Autónoma de Madrid,University of Essex,Universidad Autónoma de Madrid,,,,,,,,,,,,
Management Accounting,Dual-Tasking in the Workplace: The Role of Incentives and Social Presence,Kristian Rotaru,Tao Hu,John Ko,James Sewell,Dennis Fehrenbacher,,,,,,,,,,,,Monash University,Monash University,Monash University,Monash University,,,,,,,,,,,,
Management Accounting,The Role of Contractual Ambiguity and Joint Steering Committees for Managing non-equity R&D Alliances,Adèle Vanpoucke,Martine Cools,Kristof Stouthuysen,Alexandra Van Den Abbeele,,,,,,,,,,,,,KU Leuven,KU Leuven,,KU Leuven,,,,,,,,,,,,
Management Accounting,Accounting for the Human Factor: Managing Budgetary Slack and Dark Triad Personalities,Sebastian Oelrich,Thomas Günther,Mathilde Tønnesen,Tobias Voigtlaender,,,,,,,,,,,,,Aarhus University,Dresden University of Technology,Aarhus University,Dresden University of Technology,,,,,,,,,,,,
